dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,vit_b_16,224,1,00,10,0.46575,0.61252,0.67953
HTP,per_env,vit_b_16,224,1,00,11,0.50685,0.55453,0.62358
HTP,per_env,vit_b_16,224,1,00,12,0.57534,0.57719,0.58763
HTP,per_env,vit_b_16,224,1,00,13,0.56164,0.5288,0.65904
HTP,per_env,vit_b_16,224,1,00,14,0.57534,0.61444,0.64103
HTP,per_env,vit_b_16,224,1,00,15,0.43836,0.52304,0.61992
HTP,per_env,vit_b_16,224,1,00,16,0.57534,0.64516,0.56306
HTP,per_env,vit_b_16,224,1,00,17,0.54795,0.64363,0.58266
HTP,per_env,vit_b_16,224,1,00,18,0.57534,0.6467,0.58438
HTP,per_env,vit_b_16,224,1,00,19,0.57534,0.48618,0.57526
HTP,per_env,vit_b_16,224,1,00,20,0.57534,0.5818,0.65199
HTP,per_env,vit_b_16,224,1,00,21,0.61644,0.60599,0.62907
HTP,per_env,vit_b_16,224,1,00,22,0.58904,0.55914,0.54515
HTP,per_env,vit_b_16,224,1,00,23,0.52055,0.63134,0.56967
HTP,per_env,vit_b_16,224,1,00,24,0.58904,0.61828,0.55922
HTP,per_env,vit_b_16,224,1,00,25,0.54795,0.56144,0.54471
HTP,per_env,vit_b_16,224,1,00,26,0.52055,0.50077,0.51271
HTP,per_env,vit_b_16,224,1,00,27,0.58904,0.61214,0.57843
HTP,per_env,vit_b_16,224,1,00,28,0.58904,0.58679,0.56303
HTP,per_env,vit_b_16,224,1,00,29,0.50685,0.55991,0.43869
HTP,per_env,vit_b_16,224,1,00,30,0.57534,0.61751,0.46257
HTP,per_env,vit_b_16,224,1,00,31,0.53425,0.55069,0.49157
HTP,per_env,vit_b_16,224,1,00,32,0.50685,0.51075,0.42474
HTP,per_env,vit_b_16,224,1,00,33,0.54795,0.59255,0.41484
HTP,per_env,vit_b_16,224,1,00,34,0.54795,0.55376,0.43232
HTP,per_env,vit_b_16,224,1,00,35,0.54795,0.58909,0.46251
HTP,per_env,vit_b_16,224,1,00,36,0.65753,0.64516,0.39744
HTP,per_env,vit_b_16,224,1,00,37,0.50685,0.59217,0.42812
