nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
    32     0.1193    0.720    0.806     3.0
    33     0.1446    0.737    0.812     3.0
    34     0.1595    0.703    0.783     3.0
    35     0.1678    0.694    0.780     3.0
    36     0.1645    0.737    0.818     3.0
    37     0.1085    0.724    0.802     3.0
    38     0.1125    0.724    0.798     3.0
    39     0.1226    0.716    0.781     3.0
    40     0.1593    0.720    0.808     3.0
    41     0.1286    0.707    0.814     3.0
    42     0.1118    0.737    0.807     3.0
    43     0.1089    0.707    0.781     3.0
    44     0.0888    0.733    0.797     3.0
    45     0.0766    0.716    0.795     3.0
    46     0.0814    0.694    0.800     3.0
    47     0.0910    0.677    0.791     3.0
    48     0.0964    0.711    0.817     3.0
    49     0.1100    0.733    0.819     3.0
    50     0.1011    0.737    0.814     3.0
[seed=4 size=224 pooled_split] 末轮 acc 0.737（记进汇总的是这个）   最好 epoch acc 0.772（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=4 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6366    0.685    0.762    13.3
     2     0.6013    0.776    0.864    13.3
     3     0.5409    0.767    0.862    13.3
     4     0.4945    0.754    0.853    13.2
     5     0.4644    0.750    0.837    13.4
     6     0.4368    0.608    0.824    13.3
     7     0.3994    0.772    0.882    13.4
     8     0.4076    0.767    0.831    13.4
     9     0.3652    0.711    0.844    13.2
    10     0.3162    0.720    0.808    13.3
    11     0.2801    0.754    0.835    13.4
    12     0.2359    0.737    0.858    13.5
    13     0.2401    0.754    0.843    13.3
    14     0.2080    0.711    0.789    13.5
    15     0.2246    0.681    0.839    13.5
    16     0.2178    0.733    0.828    13.3
    17     0.1487    0.724    0.818    13.5
    18     0.1370    0.716    0.822    13.3
    19     0.1416    0.737    0.826    13.4
    20     0.1577    0.690    0.824    13.4
    21     0.1507    0.711    0.809    13.5
    22     0.1387    0.746    0.825    13.2
    23     0.1269    0.659    0.778    13.2
    24     0.1300    0.707    0.845    13.4
    25     0.1299    0.724    0.829    13.3
    26     0.1135    0.741    0.845    13.3
    27     0.1059    0.733    0.841    13.3
    28     0.0880    0.763    0.825    13.3
    29     0.1147    0.694    0.819    13.2
    30     0.0927    0.724    0.847    13.5
    31     0.0997    0.741    0.824    13.1
    32     0.0830    0.716    0.832    13.3
    33     0.0754    0.776    0.850    13.7
    34     0.0851    0.707    0.801    13.3
    35     0.0893    0.767    0.852    13.5
    36     0.0837    0.698    0.806    13.5
    37     0.0892    0.720    0.813    13.3
    38     0.1047    0.750    0.825    13.8
    39     0.0895    0.690    0.787    13.4
    40     0.0946    0.698    0.782    13.6
    41     0.1009    0.720    0.820    13.7
    42     0.0608    0.720    0.797    13.6
    43     0.0743    0.724    0.820    13.6
    44     0.0509    0.711    0.813    13.5
    45     0.0501    0.759    0.825    13.9
    46     0.0691    0.690    0.803    13.3
    47     0.0697    0.716    0.826    13.6
    48     0.0404    0.754    0.820    13.7
    49     0.0495    0.754    0.850    13.5
    50     0.0527    0.720    0.827    13.6
[seed=4 size=640 pooled_split] 末轮 acc 0.720（记进汇总的是这个）   最好 epoch acc 0.776（挑了测试集上最好的一轮，只能参考，不能当结果报）

=== 汇总  dataset=HTP  scope=pooled_split  arch=resnet50  seeds=[0, 1, 2, 3, 4]  epochs=50  test_ratio=0.2 ===

acc
 image_size              00              01              02         overall
        224     0.608±0.035     0.834±0.029     0.567±0.074     0.701±0.035
        640     0.625±0.055     0.830±0.072     0.596±0.054     0.711±0.017

auc
 image_size              00              01              02         overall
        224     0.646±0.052     0.934±0.013     0.610±0.085     0.783±0.029
        640     0.654±0.047     0.933±0.042     0.619±0.048     0.785±0.027

结果已写入 indomain_res.csv（本次 2000 行）
